Model,Resampling/Normalization,Accuracy,Recall,Precision,F1
Logistic Regression,None/None,0.6971,0.59,0.1033,0.1758
Logistic Regression,SMOTEENN/StandardScaler,0.6167,0.4278,0.6691,0.5219
Logistic Regression,OVERSAMPLING/StandardScaler,0.6186,0.4291,0.6647,0.5215
XGBoost,None/None,0.9992,0.9993,0.9982,0.9988
XGBoost,OVERSAMPLING/StandardScaler,0.9994,0.9989,0.9994,0.9991
XGBoost,SMOTEENN/StandardScaler,0.9993,0.9992,0.9987,0.9989
Shallow NN,None/None,0.992,0.9892,0.9852,0.9872
Shallow NN,SMOTE/StandardScaler,0.998,0.9976,0.9961,0.9968
Shallow NN,OVERSAMPLING/MinMaxScaler,0.9979,0.998,0.9951,0.9966
